Member_number,Date,itemDescription
4353,2015-05-25,bottled beer
4017,2015-08-13,pork
1422,2015-08-21,other vegetables
2714,2015-03-15,yogurt
2769,2015-07-21,sparkling wine
4166,2015-04-30,bottled water
3614,2015-03-02,citrus fruit
4361,2015-09-05,hamburger meat
1922,2015-09-22,packaged fruit/vegetables
4728,2015-09-06,other vegetables
3646,2015-08-08,soda
1155,2015-08-10,whole milk
2119,2015-06-11,herbs
1602,2015-08-29,citrus fruit
1074,2015-06-24,misc. beverages
2256,2015-04-11,female sanitary products
1348,2015-09-17,soda
3806,2015-08-28,tropical fruit
1711,2015-06-06,soda
3959,2015-04-12,white bread
1590,2015-08-15,coffee
1962,2015-06-08,tropical fruit
1766,2015-01-21,pork
2551,2015-10-21,citrus fruit
2294,2015-09-23,frankfurter
4531,2015-05-29,frankfurter
2957,2015-04-12,frankfurter
4415,2015-01-27,other vegetables
1476,2015-08-26,yogurt
3978,2015-07-23,sausage
2062,2015-09-22,whole milk
3252,2015-06-28,pip fruit
3922,2015-06-24,whole milk
1491,2015-10-17,root vegetables
3526,2015-08-26,onions
4060,2015-12-11,specialty chocolate
1067,2015-04-08,hamburger meat
2840,2015-01-27,photo/film
4484,2015-11-27,rolls/buns
2353,2015-02-07,canned beer
3130,2015-02-18,canned beer
4273,2015-06-14,other vegetables
4565,2015-12-30,canned beer
2504,2015-08-14,curd
4127,2015-10-23,butter
2690,2015-04-01,other vegetables
4129,2015-09-22,whole milk
4511,2015-06-29,beef
1602,2015-08-04,sausage
4369,2015-02-01,soda
1302,2015-09-29,fruit/vegetable juice
3326,2015-04-30,rolls/buns
2066,2015-05-21,pip fruit
3483,2015-01-15,frozen vegetables
2840,2015-02-12,beverages
1807,2015-05-18,hamburger meat
2067,2015-08-12,root vegetables
3783,2015-02-17,canned beer
2884,2015-01-04,frozen vegetables
2908,2015-03-15,canned beer
1330,2015-07-10,newspapers
2293,2015-05-08,rolls/buns
3718,2015-05-20,hamburger meat
4338,2015-01-25,pip fruit
3486,2015-11-08,canned beer
3635,2015-09-04,grapes
2857,2015-02-18,root vegetables
3684,2015-08-13,citrus fruit
3120,2015-10-20,cling film/bags
3872,2015-03-19,frankfurter
2777,2015-04-07,whole milk
2702,2015-05-27,pork
4796,2015-06-29,chicken
1564,2015-10-23,sausage
2740,2015-07-02,specialty bar
1833,2015-04-13,whipped/sour cream
1757,2015-12-23,root vegetables
2975,2015-10-24,rolls/buns
4032,2015-08-10,other vegetables
3979,2015-09-16,citrus fruit
3772,2015-03-09,whole milk
4523,2015-10-28,frankfurter
4004,2015-04-19,coffee
2936,2015-06-08,ham
2394,2015-06-21,canned beer
4616,2015-08-16,canned beer
2362,2015-07-08,canned beer
3593,2015-11-03,pip fruit
4389,2015-08-27,pork
3206,2015-08-11,soap
4601,2015-01-04,pip fruit
4382,2015-11-13,beef
2718,2015-06-08,sausage
4691,2015-10-12,frozen chicken
3735,2015-11-28,soda
3900,2015-12-20,tropical fruit
4959,2015-06-30,other vegetables
1815,2015-08-30,beef
2454,2015-04-08,meat
4778,2015-01-15,meat
2289,2015-11-04,bottled water
1734,2015-07-13,rolls/buns
4019,2015-02-05,pastry
4605,2015-05-28,pork
4864,2015-11-14,pip fruit
4205,2015-02-22,beef
1862,2015-08-03,beef
1846,2015-07-19,rolls/buns
2019,2015-05-28,citrus fruit
2042,2015-11-19,meat
1768,2015-05-26,beverages
3847,2015-03-26,beef
3557,2015-07-20,ham
3975,2015-02-27,hamburger meat
4198,2015-03-18,beef
2580,2015-09-04,beef
3474,2015-08-25,root vegetables
1678,2015-11-14,citrus fruit
4254,2015-08-14,yogurt
4704,2015-08-21,tropical fruit
3343,2015-05-10,frankfurter
3812,2015-06-24,beef
3093,2015-03-13,shopping bags
2170,2015-06-18,canned beer
4867,2015-10-29,rolls/buns
3899,2015-03-23,other vegetables
2941,2015-10-03,hamburger meat
1958,2015-07-03,hamburger meat
2760,2015-08-08,frankfurter
4413,2015-08-03,bottled beer
1737,2015-05-15,tropical fruit
4202,2015-02-18,soda
1065,2015-11-13,frankfurter
3819,2015-06-28,chicken
2854,2015-02-08,coffee
4387,2015-09-16,whole milk
4530,2015-04-12,margarine
4191,2015-11-03,tropical fruit
3102,2015-12-04,meat
1946,2015-01-25,cream cheese 
2156,2015-05-15,newspapers
1444,2015-12-16,rolls/buns
1699,2015-05-14,citrus fruit
4954,2015-05-04,whole milk
2207,2015-04-08,frankfurter
4826,2015-01-28,ham
2374,2015-06-08,frankfurter
1604,2015-08-18,sausage
4437,2015-11-29,domestic eggs
2319,2015-05-10,whole milk
3018,2015-06-27,rolls/buns
1195,2015-09-28,whole milk
1768,2015-09-04,sausage
3017,2015-09-28,curd
3384,2015-11-29,bottled water
1918,2015-01-30,beef
2524,2015-10-17,frankfurter
2798,2015-06-17,chicken
2096,2015-01-25,sausage
1489,2015-03-13,pork
1431,2015-07-20,yogurt
2747,2015-07-05,whole milk
3054,2015-03-22,frankfurter
2691,2015-10-09,beef
1752,2015-04-19,pip fruit
3027,2015-09-15,sausage
4452,2015-06-17,pastry
4129,2015-08-13,chicken
3523,2015-11-09,root vegetables
2128,2015-02-11,whole milk
4867,2015-02-03,detergent
4762,2015-10-30,rolls/buns
1632,2015-05-29,house keeping products
4018,2015-11-17,yogurt
1722,2015-07-13,tropical fruit
1438,2015-10-19,tropical fruit
3958,2015-10-27,curd
3292,2015-09-13,beef
2861,2015-02-23,whole milk
1757,2015-02-24,pork
1509,2015-12-30,other vegetables
2364,2015-05-11,rolls/buns
3084,2015-10-26,frankfurter
1850,2015-02-17,yogurt
1949,2015-03-17,whole milk
4740,2015-10-02,bottled water
1072,2015-10-23,frankfurter
4196,2015-07-09,rolls/buns
4814,2015-09-13,whole milk
1514,2015-02-28,rolls/buns
4584,2015-10-25,chicken
2751,2015-02-03,tropical fruit
4155,2015-09-24,sausage
4670,2015-10-11,sausage
4566,2015-07-27,frankfurter
2371,2015-08-30,UHT-milk
3442,2015-11-14,rolls/buns
3090,2015-09-27,canned beer
1457,2015-01-09,yogurt
4952,2015-04-08,whipped/sour cream
3165,2015-01-11,rolls/buns
2608,2015-09-19,rolls/buns
2040,2015-10-07,beverages
1327,2015-08-09,rolls/buns
3363,2015-01-07,rolls/buns
1731,2015-09-09,bottled beer
2760,2015-08-02,citrus fruit
3120,2015-01-14,bottled water
1332,2015-04-30,pastry
4530,2015-09-12,domestic eggs
3145,2015-02-23,beef
1099,2015-08-13,spread cheese
3188,2015-12-06,tropical fruit
3748,2015-10-13,packaged fruit/vegetables
4655,2015-03-31,whole milk
1827,2015-05-01,meat
2485,2015-02-17,onions
4683,2015-01-15,frankfurter
4358,2015-11-06,beef
1931,2015-10-09,beef
2490,2015-12-18,sausage
4842,2015-12-08,chicken
4616,2015-01-01,canned beer
2810,2015-09-22,sausage
2785,2015-10-18,tropical fruit
3591,2015-07-20,frankfurter
3896,2015-09-10,sausage
3842,2015-07-01,beef
2648,2015-07-10,tropical fruit
4688,2015-10-02,yogurt
3511,2015-08-26,frankfurter
3084,2015-09-04,bottled beer
3810,2015-05-07,grapes
4348,2015-02-26,beverages
3584,2015-03-10,curd
2620,2015-06-11,ice cream
2716,2015-01-18,sausage
3797,2015-08-10,other vegetables
2976,2015-06-02,dessert
2762,2015-11-07,decalcifier
3752,2015-04-25,canned beer
1659,2015-11-30,coffee
4109,2015-02-08,berries
1542,2015-08-07,pork
2068,2015-06-07,frankfurter
4509,2015-06-14,pork
4646,2015-06-14,frankfurter
2122,2015-04-07,frozen dessert
2730,2015-06-15,chicken
1800,2015-07-31,vinegar
1456,2015-09-18,rolls/buns
1138,2015-09-02,whole milk
4104,2015-06-12,pork
4985,2015-02-28,rolls/buns
3181,2015-12-13,grapes
3178,2015-10-21,frankfurter
1688,2015-11-10,finished products
1488,2015-11-28,onions
4975,2015-05-08,tropical fruit
4697,2015-01-09,other vegetables
4742,2015-01-11,ham
2640,2015-04-22,other vegetables
2548,2015-12-25,curd
2825,2015-12-29,sausage
2592,2015-07-04,canned beer
3622,2015-12-28,ham
4852,2015-08-21,packaged fruit/vegetables
1839,2015-09-03,meat
2413,2015-04-04,whole milk
2982,2015-06-14,canned beer
1981,2015-10-31,chicken
4440,2015-09-21,rolls/buns
3497,2015-11-24,pet care
3668,2015-12-18,root vegetables
4460,2015-05-28,pastry
1335,2015-01-16,frankfurter
4303,2015-12-07,chicken
3508,2015-02-28,frozen dessert
1959,2015-03-19,citrus fruit
3856,2015-03-06,sausage
3141,2015-07-29,root vegetables
4640,2015-09-25,root vegetables
4851,2015-05-25,bottled beer
3306,2015-09-22,frankfurter
2193,2015-04-08,root vegetables
1156,2015-09-13,berries
4596,2015-04-08,hamburger meat
1245,2015-10-08,tropical fruit
1515,2015-07-05,frankfurter
2564,2015-07-14,frankfurter
4527,2015-10-18,soda
2487,2015-07-09,ice cream
3420,2015-02-27,beef
4442,2015-11-28,whole milk
3164,2015-04-30,pork
3601,2015-04-01,whole milk
3176,2015-05-25,bottled beer
2568,2015-07-22,pork
1856,2015-10-26,root vegetables
3859,2015-09-30,canned beer
1668,2015-08-21,citrus fruit
4499,2015-08-23,pip fruit
1753,2015-08-21,root vegetables
3829,2015-06-25,tropical fruit
4825,2015-01-08,beef
3694,2015-11-10,chicken
4147,2015-01-02,citrus fruit
2196,2015-10-09,meat
2229,2015-05-22,cream cheese 
4724,2015-09-03,citrus fruit
3066,2015-10-11,specialty bar
1120,2015-06-08,meat
4769,2015-08-22,citrus fruit
4711,2015-09-17,frankfurter
2391,2015-06-22,citrus fruit
1216,2015-03-04,turkey
3154,2015-05-14,citrus fruit
3911,2015-07-30,sausage
3111,2015-10-15,newspapers
1385,2015-11-26,whole milk
1158,2015-03-21,yogurt
2733,2015-07-22,yogurt
4999,2015-12-26,bottled water
2882,2015-06-12,berries
2590,2015-06-25,packaged fruit/vegetables
4249,2015-08-04,frankfurter
3012,2015-05-03,nuts/prunes
1533,2015-11-07,citrus fruit
1667,2015-01-12,beef
4323,2015-05-13,whole milk
2087,2015-02-22,other vegetables
1853,2015-05-31,beef
2157,2015-10-29,fish
1136,2015-10-29,other vegetables
2049,2015-10-07,tropical fruit
3122,2015-05-02,coffee
2245,2015-05-15,sausage
4746,2015-10-18,meat
4224,2015-02-24,chicken
4219,2015-03-19,berries
2641,2015-01-01,frozen meals
3173,2015-07-25,whipped/sour cream
2191,2015-10-19,beef
4212,2015-04-07,chicken
1902,2015-12-01,chicken
1347,2015-03-27,beef
1578,2015-06-23,packaged fruit/vegetables
1264,2015-11-23,sugar
4632,2015-09-30,frankfurter
3452,2015-11-01,berries
4822,2015-02-10,bottled water
3987,2015-06-18,sausage
1672,2015-10-07,whole milk
4864,2015-12-01,ice cream
3368,2015-03-09,frankfurter
1283,2015-09-22,root vegetables
4428,2015-06-28,sausage
2577,2015-10-25,sausage
1973,2015-10-24,beef
3284,2015-01-23,fruit/vegetable juice
1905,2015-05-19,sugar
2226,2015-03-09,berries
1932,2015-09-04,yogurt
4506,2015-08-11,pork
1843,2015-11-27,bottled beer
3973,2015-07-27,curd
1651,2015-07-28,beef
3997,2015-10-12,pork
4796,2015-08-25,white bread
1245,2015-09-24,grapes
3579,2015-08-17,potato products
4387,2015-02-10,root vegetables
2496,2015-06-29,chicken
3590,2015-03-28,chicken
2890,2015-04-26,fish
1401,2015-01-27,canned beer
3297,2015-05-21,other vegetables
2867,2015-12-23,chicken
1365,2015-05-20,other vegetables
2355,2015-07-24,tropical fruit
1170,2015-03-19,whole milk
3554,2015-03-21,beef
4171,2015-01-26,sausage
3963,2015-09-17,whole milk
3076,2015-12-08,rolls/buns
1629,2015-05-17,citrus fruit
1366,2015-05-30,whole milk
3677,2015-07-29,pastry
2844,2015-05-21,tropical fruit
4509,2015-09-28,sliced cheese
3245,2015-05-11,soda
2294,2015-06-22,ham
1234,2015-11-20,salty snack
3001,2015-12-24,whole milk
3587,2015-08-05,root vegetables
2700,2015-01-22,soda
3838,2015-12-14,curd
4045,2015-12-22,bottled water
1858,2015-04-25,packaged fruit/vegetables
2280,2015-01-11,tropical fruit
2454,2015-04-06,ham
4437,2015-10-09,pork
1685,2015-03-30,beverages
